itembrand_image/_alt,wrapper_link/_text,itemdescription_description,itemfeatures_value_1,itemfeatures_value_1_numbers,Cas Latency:,Voltage:,Muli-Channel,Timing:,Model #:,Buffered,ECC,Headspreader,color
G.SKILL,G.SKILL Ripjaws X Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model F3-2400C11Q-32GXM G.SKILL Ripjaws X Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model F3-2400C11Q-32GXM,G.SKILL Ripjaws X Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model F3-2400C11Q-32GXM,DDR3 2400 (PC3 19200),2400; 19200,11,1.65V,Dual/Quad Channel Kit,11-13-13-31,F3-2400C11Q-32GXM,,,,
Corsair,CORSAIR Vengeance LP 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Low Profile Desktop Memory Model CML4GX3M2A1600C9 CORSAIR Vengeance LP 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Low Profile Desktop Memory Model CML4GX3M2A1600C9,CORSAIR Vengeance LP 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Low Profile Desktop Memory Model CML4GX3M2A1600C9,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,Dual Channel Kit,9-9-9-24,CML4GX3M2A1600C9,,,,
Corsair,CORSAIR Vengeance LPX 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2800 (PC4-22400) Desktop Memory Model CMK16GX4M4A2800C16R CORSAIR Vengeance LPX 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2800 (PC4-22400) Desktop Memory Model CMK16GX4M4A2800C16R,CORSAIR Vengeance LPX 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2800 (PC4-22400) Desktop Memory Model CMK16GX4M4A2800C16R,DDR4 2800 (PC4-22400),2800; 22400,16,1.2V,Quad Channel Kit,16-18-18-36,CMK16GX4M4A2800C16R,,,,
Corsair,CORSAIR Vengeance LPX 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory Kit Model CMK16GX4M2A2400C14 CORSAIR Vengeance LPX 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory Kit Model CMK16GX4M2A2400C14,CORSAIR Vengeance LPX 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory Kit Model CMK16GX4M2A2400C14,DDR4 2400 (PC4-19200),2400; 19200,14,1.2V,Dual Channel Kit,14-16-16-31,CMK16GX4M2A2400C14,,,,
HyperX,HyperX Predator 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 Desktop Memory Model HX321C11T2K2/8 HyperX Predator 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 Desktop Memory Model HX321C11T2K2/8,HyperX Predator 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 Desktop Memory Model HX321C11T2K2/8,DDR3 2133,2133,11,1.6V,Dual Channel Kit,11/12/12,HX321C11T2K2/8,,,,
G.SKILL,G.SKILL Ripjaws X Series 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL7D-4GBXH G.SKILL Ripjaws X Series 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL7D-4GBXH,G.SKILL Ripjaws X Series 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL7D-4GBXH,DDR3 1333 (PC3 10666),1333; 10666,7,1.5V,Dual Channel Kit,7-7-7-21,F3-10666CL7D-4GBXH,,,,
Corsair,CORSAIR Vengeance Pro 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 Desktop Memory Model CMY16GX3M2A2133C11R (Red) CORSAIR Vengeance Pro 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 Desktop Memory Model CMY16GX3M2A2133C11R (Red),CORSAIR Vengeance Pro 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 Desktop Memory Model CMY16GX3M2A2133C11R (Red),DDR3 2133,2133,11,1.5V,Dual Channel Kit,11-11-11-27,CMY16GX3M2A2133C11R,,,,
G.SKILL,G.SKILL Ares Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-2133C10Q-32GAB G.SKILL Ares Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-2133C10Q-32GAB,G.SKILL Ares Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-2133C10Q-32GAB,DDR3 2133 (PC3 17000),2133; 17000,10,1.6V,Quad Channel Kit,10-12-12-31,F3-2133C10Q-32GAB,,,,
G.SKILL,G.SKILL Ripjaws Series 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL7D-4GBRH G.SKILL Ripjaws Series 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL7D-4GBRH,G.SKILL Ripjaws Series 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL7D-4GBRH,DDR3 1333 (PC3 10666),1333; 10666,7,1.5V,Dual Channel Kit,7-7-7-21,F3-10666CL7D-4GBRH,,,,
Silicon Power,Silicon Power 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) CL9UDIMM(512Mx8 SR)w/HSModel SP016GXLYU18ANDA Silicon Power 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) CL9UDIMM(512Mx8 SR)w/HSModel SP016GXLYU18ANDA,Silicon Power 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) CL9UDIMM(512Mx8 SR)w/HSModel SP016GXLYU18ANDA,DDR3 1866 (PC3 14900),1866; 14900,9,1.5V,Dual Channel Kit,9-11-9-27,SP016GXLYU18ANDA,,,,
HyperX,HyperX Beast 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 Desktop Memory Model HX318C9T2K2/8 HyperX Beast 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 Desktop Memory Model HX318C9T2K2/8,HyperX Beast 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 Desktop Memory Model HX318C9T2K2/8,DDR3 1866,1866,9,1.5V,Dual Channel Kit,9/10/11,HX318C9T2K2/8,,,,
Mushkin Enhanced,Mushkin Enhanced Blackline 16GB (4 x 4GB) 240-Pin DDR3 UDIMM DDR3 1600 (PC3 12800) Memory Model 994043F Mushkin Enhanced Blackline 16GB (4 x 4GB) 240-Pin DDR3 UDIMM DDR3 1600 (PC3 12800) Memory Model 994043F,Mushkin Enhanced Blackline 16GB (4 x 4GB) 240-Pin DDR3 UDIMM DDR3 1600 (PC3 12800) Memory Model 994043F,DDR3 1600 (PC3 12800),1600; 12800,8,1.5V,Quad Channel Kit,8-8-8-24,994043F,,,,
G.SKILL,G.SKILL Ripjaws 4 series 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Desktop Memory Model F4-2666C15Q-32GRR G.SKILL Ripjaws 4 series 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Desktop Memory Model F4-2666C15Q-32GRR,G.SKILL Ripjaws 4 series 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Desktop Memory Model F4-2666C15Q-32GRR,DDR4 2666 (PC4-21300),2666; 21300,15,1.2V,Quad Channel Kit,15-15-15-35,F4-2666C15Q-32GRR,,,,
Mushkin Enhanced,Mushkin Enhanced Blackline 16GB (2 x 8GB) 240-Pin DDR3 UDIMM DDR3 1600 (PC3 12800) Memory Model 997055F Mushkin Enhanced Blackline 16GB (2 x 8GB) 240-Pin DDR3 UDIMM DDR3 1600 (PC3 12800) Memory Model 997055F,Mushkin Enhanced Blackline 16GB (2 x 8GB) 240-Pin DDR3 UDIMM DDR3 1600 (PC3 12800) Memory Model 997055F,DDR3 1600 (PC3 12800),1600; 12800,10,1.5V,Dual Channel Kit,10-10-10-27,997055F,,,,
G.SKILL,G.SKILL Ripjaws X Series 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL8D-4GBXM G.SKILL Ripjaws X Series 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL8D-4GBXM,G.SKILL Ripjaws X Series 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL8D-4GBXM,DDR3 1333 (PC3 10666),1333; 10666,8,1.5V,Dual Channel Kit,8-8-8-24,F3-10666CL8D-4GBXM,,,,
Corsair,CORSAIR Vengeance Pro 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 Desktop Memory Model CMY16GX3M2A2133C11 (Silver) CORSAIR Vengeance Pro 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 Desktop Memory Model CMY16GX3M2A2133C11 (Silver),CORSAIR Vengeance Pro 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 Desktop Memory Model CMY16GX3M2A2133C11 (Silver),DDR3 2133,2133,11,1.5V,Dual Channel Kit,11-11-11-27,CMY16GX3M2A2133C11,,,,
Corsair,CORSAIR Vengeance LPX 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2800 (PC4-22400) Desktop Memory Model CMK16GX4M4A2800C16B CORSAIR Vengeance LPX 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2800 (PC4-22400) Desktop Memory Model CMK16GX4M4A2800C16B,CORSAIR Vengeance LPX 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2800 (PC4-22400) Desktop Memory Model CMK16GX4M4A2800C16B,DDR4 2800 (PC4-22400),2800; 22400,16,1.2V,Quad Channel Kit,16-18-18-36,CMK16GX4M4A2800C16B,,,,
G.SKILL,G.SKILL Ripjaws 4 series 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Desktop Memory Model F4-2666C15Q-16GRR G.SKILL Ripjaws 4 series 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Desktop Memory Model F4-2666C15Q-16GRR,G.SKILL Ripjaws 4 series 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Desktop Memory Model F4-2666C15Q-16GRR,DDR4 2666 (PC4-21300),2666; 21300,15,1.2V,Quad Channel Kit,15-15-15-35,F4-2666C15Q-16GRR,,,,
Corsair,CORSAIR Vengeance LPX 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2800 (PC4-22400) Desktop Memory Model CMK16GX4M4A2800C16 CORSAIR Vengeance LPX 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2800 (PC4-22400) Desktop Memory Model CMK16GX4M4A2800C16,CORSAIR Vengeance LPX 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2800 (PC4-22400) Desktop Memory Model CMK16GX4M4A2800C16,DDR4 2800 (PC4-22400),2800; 22400,16,1.2V,Quad Channel Kit,16-18-18-36,CMK16GX4M4A2800C16,,,,
G.SKILL,G.SKILL Ripjaws Z Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-2133C9Q-32GZH G.SKILL Ripjaws Z Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-2133C9Q-32GZH,G.SKILL Ripjaws Z Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-2133C9Q-32GZH,DDR3 2133 (PC3 17000),2133; 17000,9,1.6V,Quad Channel Kit,9-11-11-31,F3-2133C9Q-32GZH,,,,
Patriot Memory,Patriot Viper 4 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4-24000) Extreme Performance Quad Memory Kit Model PV416G300C6QK Patriot Viper 4 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4-24000) Extreme Performance Quad Memory Kit Model PV416G300C6QK,Patriot Viper 4 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4-24000) Extreme Performance Quad Memory Kit Model PV416G300C6QK,DDR4 3000 (PC4-24000),3000; 24000,16,1.35V,Quad Channel Kit,16-16-16-36,PV416G300C6QK,,,,
Mushkin Enhanced,Mushkin Enhanced Redline 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model 997007 Mushkin Enhanced Redline 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model 997007,Mushkin Enhanced Redline 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model 997007,DDR3 1866 (PC3 14900),1866; 14900,9,1.5V,Dual Channel Kit,9-10-9-27,997007,,,,
Apotop,Apotop 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model U3A2Gx2-16C9BB Apotop 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model U3A2Gx2-16C9BB,Apotop 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model U3A2Gx2-16C9BB,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,Dual Channel Kit,9-9-9-24,U3A2Gx2-16C9BB,,,,
Patriot Memory,Patriot Viper 4 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Extreme Performance Quad Memory KitModel PV432G266C5QK Patriot Viper 4 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Extreme Performance Quad Memory KitModel PV432G266C5QK,Patriot Viper 4 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Extreme Performance Quad Memory KitModel PV432G266C5QK,DDR4 2666 (PC4-21300),2666; 21300,15,1.2V,Quad Channel Kit,15-15-15-35,PV432G266C5QK,,,,
Corsair,CORSAIR Vengeance LPX 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4-24000) Memory Kit Model CMK16GX4M4B3000C15R CORSAIR Vengeance LPX 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4-24000) Memory Kit Model CMK16GX4M4B3000C15R,CORSAIR Vengeance LPX 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4-24000) Memory Kit Model CMK16GX4M4B3000C15R,DDR4 3000 (PC4-24000),3000; 24000,15,1.35V,Quad Channel Kit,15-17-17-35,CMK16GX4M4B3000C15R,,,,
Corsair,CORSAIR XMS3 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Dual Channel Kit Desktop Memory Model TW3X4G1333C9 CORSAIR XMS3 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Dual Channel Kit Desktop Memory Model TW3X4G1333C9,CORSAIR XMS3 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Dual Channel Kit Desktop Memory Model TW3X4G1333C9,DDR3 1333 (PC3 10666),1333; 10666,9,1.6V,Dual Channel Kit,9-9-9-24,TW3X4G1333C9,,,,
G.SKILL,G.SKILL Sniper Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-17000CL9D-8GBSR G.SKILL Sniper Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-17000CL9D-8GBSR,G.SKILL Sniper Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-17000CL9D-8GBSR,DDR3 2133 (PC3 17000),2133; 17000,9,1.65V,Dual Channel Kit,9-11-10-28,F3-17000CL9D-8GBSR,,,,
Corsair,CORSAIR Vengeance Pro 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 Desktop Memory Model CMY8GX3M2A2133C11R (Red) CORSAIR Vengeance Pro 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 Desktop Memory Model CMY8GX3M2A2133C11R (Red),CORSAIR Vengeance Pro 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 Desktop Memory Model CMY8GX3M2A2133C11R (Red),DDR3 2133,2133,11,1.5V,Dual Channel Kit,11-11-11-27,CMY8GX3M2A2133C11R,,,,
Mushkin Enhanced,Mushkin Enhanced Redline 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model 997008 Mushkin Enhanced Redline 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model 997008,Mushkin Enhanced Redline 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model 997008,DDR3 1866 (PC3 14900),1866; 14900,9,1.5V,Dual Channel Kit,9-10-9-27,997008,,,,
Mushkin Enhanced,Mushkin Enhanced Redline 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model 993996 Mushkin Enhanced Redline 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model 993996,Mushkin Enhanced Redline 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model 993996,DDR3 2133 (PC3 17000),2133; 17000,9,1.65V,Quad Channel Kit,9-11-10-28,993996,,,,
G.SKILL,G.SKILL 6GB (3 x 2GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Triple Channel Kit Desktop Memory Model F3-12800CL9T-6GBNQ G.SKILL 6GB (3 x 2GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Triple Channel Kit Desktop Memory Model F3-12800CL9T-6GBNQ,G.SKILL 6GB (3 x 2GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Triple Channel Kit Desktop Memory Model F3-12800CL9T-6GBNQ,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V â€“ 1.6V,Triple Channel Kit,9-9-9-24,F3-12800CL9T-6GBNQ,,,,
G.SKILL,G.SKILL 4GB (2 x 2GB) 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Dual Channel Kit Desktop Memory Model F2-6400CL4D-4GBPK G.SKILL 4GB (2 x 2GB) 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Dual Channel Kit Desktop Memory Model F2-6400CL4D-4GBPK,G.SKILL 4GB (2 x 2GB) 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Dual Channel Kit Desktop Memory Model F2-6400CL4D-4GBPK,DDR2 800 (PC2 6400),800; 6400,4,2.0V - 2.1V,Dual Channel Kit,4-4-4-12,F2-6400CL4D-4GBPK,,,,
Corsair,CORSAIR Dominator Platinum 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model CMD16GX3M4A2400C11 CORSAIR Dominator Platinum 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model CMD16GX3M4A2400C11,CORSAIR Dominator Platinum 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model CMD16GX3M4A2400C11,DDR3 2400 (PC3 19200),2400; 19200,11,1.65V,Quad Channel Kit,11-13-13-31,CMD16GX3M4A2400C11,,,,
G.SKILL,G.SKILL Trident 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model F3-2400C10Q-16GTD G.SKILL Trident 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model F3-2400C10Q-16GTD,G.SKILL Trident 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model F3-2400C10Q-16GTD,DDR3 2400 (PC3 19200),2400; 19200,10,1.65V,Quad Channel Kit,10-12-12-31,F3-2400C10Q-16GTD,,,,
Mushkin Enhanced,Mushkin Enhanced Blackline 32GB (4 x 8GB) 240-Pin DDR3 UDIMM DDR3 2133 (PC3 17000) Memory Model 994124F Mushkin Enhanced Blackline 32GB (4 x 8GB) 240-Pin DDR3 UDIMM DDR3 2133 (PC3 17000) Memory Model 994124F,Mushkin Enhanced Blackline 32GB (4 x 8GB) 240-Pin DDR3 UDIMM DDR3 2133 (PC3 17000) Memory Model 994124F,DDR3 2133 (PC3 17000),2133; 17000,10,1.575V,Quad Channel Kit,10-12-12-28,994124F,,,,
Apotop,Apotop 8GB (2 x 4GB) DDR3 1600 (PC3 12800) Desktop Memory Model U3A4Gx2-16CBWB Apotop 8GB (2 x 4GB) DDR3 1600 (PC3 12800) Desktop Memory Model U3A4Gx2-16CBWB,Apotop 8GB (2 x 4GB) DDR3 1600 (PC3 12800) Desktop Memory Model U3A4Gx2-16CBWB,DDR3 1600 (PC3 12800),1600; 12800,11,1.5V,Dual Channel Kit,11-11-11-28,U3A4Gx2-16CBWB,,,,
Corsair,CORSAIR Vengeance Pro 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model CMY16GX3M2A2133C9R CORSAIR Vengeance Pro 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model CMY16GX3M2A2133C9R,CORSAIR Vengeance Pro 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model CMY16GX3M2A2133C9R,DDR3 2133 (PC3 17000),2133; 17000,9,1.5V,Dual Channel Kit,9-11-10-30,CMY16GX3M2A2133C9R,,,,
HyperX,HyperX Savage 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model HX321C11SRK2/16 HyperX Savage 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model HX321C11SRK2/16,HyperX Savage 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model HX321C11SRK2/16,DDR3 2133 (PC3 17000),2133; 17000,11,1.6V,Dual Channel Kit,11/12/12,HX321C11SRK2/16,,,,
G.SKILL,G.SKILL Sniper Series 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model F3-2400C11D-16GSR G.SKILL Sniper Series 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model F3-2400C11D-16GSR,G.SKILL Sniper Series 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model F3-2400C11D-16GSR,DDR3 2400 (PC3 19200),2400; 19200,11,1.65V,Dual Channel Kit,11-13-13-31,F3-2400C11D-16GSR,,,,
Corsair,CORSAIR Vengeance Pro 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2666 Desktop Memory Model CMY16GX3M4A2666C12R CORSAIR Vengeance Pro 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2666 Desktop Memory Model CMY16GX3M4A2666C12R,CORSAIR Vengeance Pro 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2666 Desktop Memory Model CMY16GX3M4A2666C12R,DDR3 2666,2666,12,1.65V,Quad Channel Kit,12-13-13-35,CMY16GX3M4A2666C12R,,,,
G.SKILL,G.SKILL Sniper Gaming Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model F3-1866C10Q-32GSR G.SKILL Sniper Gaming Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model F3-1866C10Q-32GSR,G.SKILL Sniper Gaming Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model F3-1866C10Q-32GSR,DDR3 1866 (PC3 14900),1866; 14900,10,1.5V,Quad Channel Kit,10-11-10-30,F3-1866C10Q-32GSR,,,,
Mushkin Enhanced,Mushkin Enhanced Radioactive 12GB (3 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 999005 Mushkin Enhanced Radioactive 12GB (3 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 999005,Mushkin Enhanced Radioactive 12GB (3 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 999005,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,Triple Channel Kit,9-9-9-24,999005,,,,
Team Group,Team Elite 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Desktop Memory Model TED416GM2400C16DC01 Team Elite 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Desktop Memory Model TED416GM2400C16DC01,Team Elite 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Desktop Memory Model TED416GM2400C16DC01,DDR4 2400 (PC4-19200),2400; 19200,15,1.2V,Dual Channel Kit,15-15-15-35,TED416GM2400C16DC01,,,,
GeIL,GeIL EVO POTENZA 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10660) Desktop Memory Model GPW38GB1333C9DC GeIL EVO POTENZA 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10660) Desktop Memory Model GPW38GB1333C9DC,GeIL EVO POTENZA 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10660) Desktop Memory Model GPW38GB1333C9DC,DDR3 1333 (PC3 10660),1333; 10660,9,1.5V,Dual Channel Kit,9-9-9-24,GPW38GB1333C9DC,,,,
G.SKILL,G.SKILL Ripjaws X Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL9Q-32GBXL G.SKILL Ripjaws X Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL9Q-32GBXL,G.SKILL Ripjaws X Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL9Q-32GBXL,DDR3 1333 (PC3 10666),1333; 10666,9,1.5V,Quad Channel Kit,9-9-9-24,F3-10666CL9Q-32GBXL,,,,
